artista_musical,biografía,Link_información,url_imagen,redes_social,género_musical,información_género,audiencia_Spotify,canción_más_escuchada,reproducciones,url_video,colaboraciones_artistas
Jaze,"Jaze (Juan Carlos Iwasaki La Puente) es un músico, compositor y freestyler peruano, reconocido por su versatilidad en el freestyle. Fue campeón nacional de Red Bull Batalla Perú 2018 y bicampeón de FMS Perú, liga que ayudó a impulsar junto a Nekroos y Choque. En sus inicios, era conocido por llevar una mochila a sus batallas.",https://rap.fandom.com/es/wiki/Jaze,"https://img.redbull.com/images/q_auto,f_auto/redbullcom/2022/5/19/r7kiq1ifcprzqb1wgs1d/jaze",,Urbano|Hip hop,,588k,Las Consecuencias,20M,https://open.spotify.com/intl-es/track/1pqQwSJVzaGYLbHo845nzZ?si=95a0efdc4d56435f,
A.CHAL,"Alejandro Chal (mejor conocido por su nombre artístico A. CHAL) es un cantautor y productor peruano de R&B. Lanzó su primer EP, Ballroom Riots, en 2013. Su álbum debut de estudio, Welcome to GAZI, lanzó en junio de 2016. El sencillo de Chal, ""Round Whippin '"", fue estrenado por Zane Lowe en 2015. Chal ha actuado en Day N Nite Fest.",https://www.last.fm/es/music/A.CHAL/+wiki,https://www.billboard.com/wp-content/uploads/media/a-chal-2018-cr-epic-records-billboard-1548.jpg?w=942&h=623&crop=1&resize=942%2C623,,Urbano,,548k,000 000,74M,https://open.spotify.com/intl-es/track/5QeUZ1Z4xSCegBXutW3IIt?si=8d9058444e494f00,
Pedro Mo,"Pedro Mo (Pedro Gonzalo Mosqueira), también conocido como Zekatari o Mc Parásito, es un rapero y productor peruano activo desde los años 2000. Su música aborda temas sociales, políticos, urbanos y humanistas, destacando por su estilo lírico, juego de palabras y estructuras complejas, que lo han mantenido vigente hasta hoy.",https://rap.fandom.com/es/wiki/Pedro_Mo,https://cdn-images.dzcdn.net/images/artist/3a8e43ab5cda2e77b81a9590c160c459/500x500-000000-80-0-0.jpg,,Urbano,,50k,En Qué Estás,1.4M,https://open.spotify.com/intl-es/track/0zzRKluCXNHGg6lvIbQnfB?si=c91687beb358404a,
Norick,"Norick (Braulio Norick Gamarra Guevara) es un rapero, productor y freestyler peruano del barrio de Surquillo, Lima. Integrante de Rapper School, es considerado uno de los pilares del hip hop peruano y uno de los mejores exponentes del rap latinoamericano, activo desde los años 90 hasta hoy.",https://rap.fandom.com/es/wiki/Norick,https://f.rpp-noticias.io/2023/08/09/354735_1461461.jpg?imgdimension=look,,Urbano|Hip hop,,556k,Bendecidos,24M,https://open.spotify.com/intl-es/track/2QEkingmea3KHdvw0dy9K3?si=9f8f71314c8b4ce4,
Rapper School,"Rapper School, también conocidos como La Promoción Lunatika, es un grupo de rap peruano formado en 1999 y consolidado en 2001. Surgieron del colegio Scipión E. Llona en Miraflores y son considerados pioneros y pilares del hip hop peruano e hispanohablante. Se mantienen activos hasta la actualidad.",https://rap.fandom.com/es/wiki/Rapper_School,https://lastfm.freetls.fastly.net/i/u/770x0/03eb15558048419693fad7074867f7fd.jpg#03eb15558048419693fad7074867f7fd,,Urbano|Hip hop,,352k,God level 3,14.9M,https://open.spotify.com/intl-es/track/1WiDJ9qyX9y7gROMw7MmmK?si=d7d599646ef84fd3,
Liberato Kani,"Liberato Kani es un rapero y compositor peruano que fusiona el hip hop con música andina, amazónica y afroperuana. Lanzó su primer álbum, Rimay Pueblo, en 2016. Ha realizado presentaciones en escenarios importantes como el Gran Teatro Nacional, Jammin Perú, la Feria Internacional del Libro de Lima y AfueraFest, además de actuar en países como Alemania, Cuba, Chile, España y EE. UU. Estudia educación en la Universidad Enrique Guzmán y Valle, y está comprometido con la lengua quechua y la interculturalidad.",https://www.liberatokani.com/biography,https://elperuano.pe/fotografia/thumbnail/2019/05/16/000059821M.jpg,,Urbano|Andino|Hip hop,,2k,Kaykupani,195k,https://open.spotify.com/intl-es/track/1db3MM6f3RRkNHCanZtC5P?si=359619cfe4cf4c12,
Jota,"Jota Shoy (Juan José Leyva Serrano) es un rapero y freestyler peruano, bicampeón nacional de Red Bull Batalla Perú y subcampeón mundial en 2016. Es considerado uno de los MCs más influyentes del país, destacado por su estilo fluido, sin muletillas y con un flow de vieja escuela, que lo ha hecho respetado en la escena del freestyle en español.",https://rap.fandom.com/es/wiki/Jota,"https://img.redbull.com/images/c_fill,g_auto,w_1350,h_900/q_auto,f_jpg/redbullcom/2023/12/18/xd3xdbklfwknexvqeskn/jota",,Urbano|Hip hop,,49k,2.51,2.4M,https://open.spotify.com/intl-es/track/6Pot0YxQClv0VEyn59UCoq?si=ad659a6ff0944234,
Janice,"Janice Isabel Sánchez Diaz, mejor conocida como Janice es una cantante, rapera y compositora procedente de Perú, reconocida como una de las exponentes femeninas más resaltante en la escena nacional.",https://rap.fandom.com/es/wiki/Janice,https://elcomercio.pe/resizer/OqLPXqdnsWRXNxh0FDLCs9px1eQ=/1200x800/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/GAK7UB3K55FX3MRYLGHKDW7CNQ.jpg,,Pop|Urbano,,5k,One in a million,576k,https://open.spotify.com/intl-es/track/7dANHNW21jjX8h2NT37SzY?si=78e5575557844b3b,
Gian Marco,"Gian Marco Zignago, nacido el 17 de agosto de 1970 en Lima, es un cantante y compositor peruano, hijo de Regina Alcóver y Javier Zignago. Inició su carrera en los años 90 con discos como Gian Marco (1990), Personal (1992) y Entre la Arena y la Luna (1994). Ganó popularidad también como conductor en TV. Su éxito creció con álbumes como A Tiempo (2002), Resucitar (2004) y 8 (2006), y fue elegido para interpretar el himno oficial de la Copa América Perú 2004.",https://www.cmtv.com.ar/biografia/show.php?bnid=2490&banda=Gian_Marco,https://f.rpp-noticias.io/2024/08/07/380138_1623575.jpg?imgdimension=look,,Pop|Fusión,,2.9M,Te Mentiría,31M,https://open.spotify.com/intl-es/track/3LSRGvBWTdnUBJC32oBFnZ?si=6fce0af6c5434c19,
We the Lion,"Los integrantes de la banda se conocieron en la etapa escolar en donde se reunían después de clases para tocar instrumentos en la casa de Paul; fue el hermano de Paul la principal persona que los inspiró a iniciar como banda en el mundo musical. La banda señala que eligió de nombre ""We the Lion"" (nosotros el león) porque refleja el sentido de “unión de familia y abarca el lado primitivo y natural de la banda”.",https://es.wikipedia.org/wiki/We_the_Lion,https://elcomercio.pe/resizer/sSacykeUWFDskaYFmUxv8-GwRjk=/1200x900/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/NYAEMSZTWZFPHK6TQKWCY2NQEU.jpg,,Pop|Rock,,86k,Found Love,12M,https://open.spotify.com/intl-es/track/06bP5fBUljQLN6GPEMpiFr?si=f0f98bbc64284122,
Temple Sour,"Temple Sour se formó en 2014 por un grupo de amigos del colegio. Debutaron con la canción ""I Can See the Sun"" y en 2016 lanzaron su primer EP, ""Temple Sour EP"", con gran éxito en plataformas digitales. En 2017, su tema ""Chibola Manyada"" se volvió viral y lideró listas en Movistar Música. En 2018, publicaron su primer álbum de estudio: ""Pasajeros"".","https://emilyczc.home.blog/2019/01/10/temple-sour/#:~:text=Historia,de%20estudio%20titulado%20«Pasajeros».",https://elcomercio-elcomercio-prod.web.arc-cdn.net/resizer/v2/PEL6OPEXVBG6PHHGDLDCA6ZL2A.jpg?auth=6345b8fd8b1d42bbf835632919d5ccff13f7d2b006d3195e6c5b0f7270ad5434&width=680&height=680&smart=true&quality=75,,Reggae/Funk|Rock,,353k,Verte Así,19M,https://open.spotify.com/intl-es/track/1MbZQzTVCbZwdluitjREr1?si=3e7bde042efc4ff8,
Adrián Bello,"Adrián Bello (Lima, 13 de enero de 1991) es un cantante y compositor peruano, conocido por interpretar pop soul en inglés. Debutó con un álbum que marcó su estilo maduro y emocional. Su carrera sigue en ascenso, con la meta de destacar en la escena internacional del soul.",https://www.buenamusica.com/adrian-bello/biografia,https://portal.andina.pe/EDPfotografia3/Thumbnail/2024/01/01/001025804W.jpg,,Pop|Electrónica,,195k,Escondidos,7M,https://open.spotify.com/intl-es/track/0Dqqdhn0ktI7pz8qNhT3AO?si=631ad1cb381d449c,
Nicole Zignago,"Nicole Zignago (Lima, 27 de diciembre de 1995) es una cantante y compositora peruana. Inició su carrera en YouTube y ganó reconocimiento como coautora del hit “1,2,3” de Sofía Reyes. Entre sus canciones destacan ""Me gusta que me gustes"", ""Feelings"" y ""Quién lo diría"", en colaboración con el grupo Lagos.",https://www.buenamusica.com/nicole-zignago/biografia,https://es.rollingstone.com/wp-content/uploads/2024/05/Nicole-Zignago-estrena-escrita-su-album-debut.jpg,,Pop,,371k,La Ola,17M,https://open.spotify.com/intl-es/track/2xi5RFdO9KqA5RFK8TDKGp?si=c361dfd48e094de3,
Números Primos,"Números Primos es un proyecto de Guil Treistman y el escritor El Búho, que combina latin folk, letras de humor negro y dibujos en vivo durante sus presentaciones. Han lanzado dos EPs y siete singles, destacando el tema ""Mejor otro día"", una apología a la procrastinación acompañada de un videoclip lo-fi con imágenes apocalípticas, reflejando con humor la ansiedad de los tiempos actuales.","https://indiehoy.com/descubrir/conoce-a-los-peruanos-numeros-primos-y-su-oda-a-la-procrastinacion/#:~:text=Números%20Primos%20es%20la%20colaboración%20del%20músico,usando%20los%20personajes%20de%20su%20tira%20homónima.",https://indiehoy.com/wp-content/uploads/2020/05/numeros-primos.jpg,,Pop|Electrónica,,14k,Una Forma de Energía que Ilumina las Cosas,2M,https://open.spotify.com/intl-es/track/48F3yZG6XKR2m1yI5q1ph7?si=2f5a982276dc410d,
Nicole Favre,"Cantante pop famosa por sus canciones populares como ""Dime"" y ""Candela"". Lanzó su álbum Y Te Lo Digo Yo en el 2021 con Universal Music México. También es muy popular en TikTok, alcanzando 450.000 fanáticos en la aplicación.",https://es.famousbirthdays.com/people/nicole-favre.html,https://f.rpp-noticias.io/2023/06/14/100110_1440520.jpg?imgdimension=look,,Pop|Urbano,,69k,Olvidarte,4M,https://open.spotify.com/intl-es/track/1sq5yMUQfFvrJ62WfBUSNW?si=6b37878d6f954719,
Marie Cherry,"Marie Cherry Pop, nacida en 1992 en Lima, es una cantante peruana que debutó en 2012. Alcanzó reconocimiento con su tema “Un dos tres” y fue telonera de artistas como Luis Fonsi. Ha lanzado álbumes como Sugar Daddy, Mala fama y Billetes, y ha trabajado con Susana Baca y Wendy Sulca. También ha sido conductora radial y en 2019 incursionó en contenido para adultos. En 2023 lanzó los temas Chica alfa y Perro que ladra.",https://es.wikipedia.org/wiki/Marie_Cherry_Pop,https://elcomercio.pe/resizer/v2/NLIQXZ243BHXHBBNZGORHKRKTQ.jpg?auth=27c1d61e58105ecd7fc6201141ea7cfcaad2fda112661e5d295afca2f90d66be&width=620&quality=75&smart=true,,Pop,,10k,X2,591k,https://open.spotify.com/intl-es/track/25w0P9UiWiYdArfUodoGzT?si=1e9ad14dfb6645fb,
Ruth Karina y Su Grupo Pa' Gozar,"Ruth Karina es una cantante peruana nacida en Pucallpa, que inició su carrera en grupos de música tropical en Ucayali y Loreto. Alcanzó la fama con el grupo Euforia y el tema ""Ven a bailar"", conocido popularmente como ""El baile del calzón"". Ya en Lima, participó en programas de TV y en la película Pantaleón y las visitadoras (1998). Como solista destacó con canciones como ""Sangre caliente"", ""Menéalo"" y ""Pa' gozar"", y lanzó el disco Sigue mi ritmo.",https://es.wikipedia.org/wiki/Ruth_Karina,https://www.expreso.com.pe/wp-content/uploads/2024/01/Ruth-Karina-en-entrevista-con-Expreso-Hace-14-anos-le-entregue-mi-vida-a-Dios.jpg,,Tecnocumbia,,66k,Lloras por Mi,11M,https://open.spotify.com/intl-es/track/49LSCyKvYaLEojxiOJ6P3z?si=15495f2ffcf64e85,
Ana Kohler | Euforia de Iquitos,"Ana Kohler es una cantante peruana nacida en 1975, que inició su carrera a los 14 años en Iquitos. Alcanzó la fama en 1999 con el grupo Euforia y el éxito ""El siqui siqui"". Luego lanzó su proyecto Ana Kohler & Orquesta y vivió en EE. UU. durante varios años. Regresó al Perú en 2017 para retomar su carrera, participando en programas como El artista del año y Yo soy, y en eventos como el aniversario de Axé Bahía.",https://chichaweb.com/ana-kohler-de-la-selva-su-encanto/,https://chichaweb.com/wp-content/uploads/2019/03/BAB175E7-26C8-4E89-ABE3-9BDE612C33BA.jpeg,,Cumbia|Fusión,,125k,Siqui siqui,6.6M,https://open.spotify.com/intl-es/track/7bI0HWV6WmPS8a7KG41z67?si=b81db65d3359436c,
Ada Chura,"Ada Chura, nacida el 6 de febrero de 1974 en Tacna, inició su carrera musical desde joven, debutando profesionalmente en 1989. Formó parte de La Nueva Pasión y luego lideró su grupo Ada y los Apasionados. Alcanzó gran popularidad en todo el Perú y fue ovacionada en eventos como el Festival de la Cerveza Cusqueña y el Festival de la Cumbia en Bolivia. También llevó su música a Europa, destacando en Milán y Roma.",https://www.last.fm/es/music/Ada+Chura/+wiki,https://i.scdn.co/image/ab67616d0000b273cfae2c0671c0c9f9958c4be9,,Cumbia|Chicha,,51k,Yo sé que Volverás,1M,https://open.spotify.com/intl-es/track/0YBq5aIvqZlCXzymvXvoO8?si=ff65294a2af14b5a,
Sonido 2000,"Sonido 2000 es una agrupación de cumbia amazónica fundada en 1975 en Tarapoto por Tulio Trigoso Reátegui, con la idea de crear la banda sonora del supuesto fin del mundo en el año 2000. Aunque el fin no llegó, el grupo se convirtió en un pilar del “poder verde” junto a Los Mirlos y Juaneco y su Combo. Con influencias de Enrique Delgado, Led Zeppelin y Jimi Hendrix, Trigoso compuso éxitos como ""Mi cariñito"", ""Mensaje de amor"" y ""Lamento chacarero"", recopilados en el disco Sonido 2000 de Tarapoto.",https://peru21.pe/cultura/sonido-2000-cumbia-amazonica-mundo-fotos-396537-noticia/,https://i.ytimg.com/vi/yro75ZH9KAw/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLArUqSzk8JxvzTzabpteiJdswYAAQ,,Cumbia|Tecnocumbia,,120k,Mi Cariñito,6.7M,https://open.spotify.com/intl-es/track/34JtnRHvuDL5c2rfOLJeDw?si=6e0f6d3afd1e400e,
Skandalo,"Skándalo fue una boy band peruana formada en 1999 por Roly Ortiz, conocida por interpretar tecnocumbia. Alcanzó gran popularidad a inicios de los 2000, junto a grupos como Joven Sensación, Tornado y Zona Franca. Su éxito trascendió el Perú, llegando también a países como Argentina, Bolivia y Ecuador.",https://es.wikipedia.org/wiki/Skándalo,https://www.infobae.com/resizer/v2/4D62E5LWYVGITN6EPMY6JWIKIY.jpg?auth=b8cdb0fcc7ae7f2779dbd276448f914c04b58d46e10988e894367844394217d0&height=1200&quality=85&smart=true&width=1200,,Cumbia|Electrónica|Tecnocumbia,,3k,Colegiala,2 540,https://open.spotify.com/intl-es/track/527FzZnq5azIf0Mbtwm4j8?si=cd346242efd54fbe,
Alma Bella de Yolanda Medina,"Alma Bella es un grupo femenino peruano con más de 10 años de trayectoria, reconocido por su éxito dentro y fuera del país. Han grabado cerca de 200 canciones, con temas populares como ""Bombón Asesino"", ""Evidencias"" y ""Me Engañaste"". Su música ha llegado a países como EE. UU., España, Italia, Suiza y Argentina, consolidándolas como referentes de la cumbia femenina peruana.",https://en-m-wikipedia-org.translate.goog/wiki/Alma_Bella_(group)?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=tc,https://scontent-lim1-1.xx.fbcdn.net/v/t1.6435-9/37145297_1418719968271943_3819412071557103616_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=833d8c&_nc_ohc=7qUbDjLvIGUQ7kNvwGejj85&_nc_oc=AdlmaQXoZ78co7EL0zsRg0Yx6G2Ta2xS_0gKbpsyPaErXulHlO5f8qIDoJxAZVKlkHBtDcoxS2C9zPOeBgX1Ay3Y&_nc_zt=23&_nc_ht=scontent-lim1-1.xx&_nc_gid=Laf4HUH6GXvPfaf8bfuhfA&oh=00_AfN1GCtsvcW0DrlrHKpZpUcxQ3HK5QWPMqJDg9OX5IyvIg&oe=687B1219,,Cumbia|Tecnocumbia,,38k,Niña Tonta,515k,https://open.spotify.com/intl-es/track/1gDlEzphzn3ZUU2Gm8iaZk?si=6d3a1be856f34cc4,
Papillón,"Papillón es un grupo de cumbia amazónica nacido en 1997 en Tarapoto. Alcanzó fama en la selva con temas como ""¿Qué pasó?"" y ""Rogaré"", y se consolidó a nivel nacional en 2008 con la llegada de Esaud Suárez y éxitos como ""Triste payaso"" y ""El baile del gusano"". Con un estilo sentimental y bailable, hoy es una de las orquestas más populares del Perú.",https://orquesta-papillon.blogspot.com/2009/09/historia-de-papillon.html,https://scontent-lim1-1.xx.fbcdn.net/v/t1.6435-9/50309666_2003622563069368_4025979670414491648_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=105&ccb=1-7&_nc_sid=833d8c&_nc_ohc=t2bbPSbKNEIQ7kNvwHvJAHl&_nc_oc=AdnU4MpUIodzOevRLawWSHgHvTIE8C0x5-zqg51G-CYQ_cl6pyI-FKY_nM5-up_8f7dbEraFaITqKl6Y8Vcemn0Y&_nc_zt=23&_nc_ht=scontent-lim1-1.xx&_nc_gid=cGkUBg93ZXgMAoOI4iGKqQ&oh=00_AfNdRNJCcnIr7moyQ8Esw9gtObroGFIIEGr_NNxSrOMiIA&oe=687B193D,,Cumbia|Tecnocumbia,,446k,Cuerpo de Sirena,18M,https://open.spotify.com/intl-es/track/0fonkCX3RL2T4Drh4BFeIX?si=99a374054a464524,
Deyvis Orosco,"Deyvis Orosco, nacido en Lima el 8 de septiembre de 1986, es hijo del cantante Johnny Orosco. Inició su carrera en 2006, pero fue en 2007 cuando asumió el liderazgo del Grupo Néctar tras la muerte de su padre y otros miembros en un accidente. Ha impulsado su carrera con proyectos como la serie La Pre, la película Somos Néctar, y homenajes musicales como ""Siempre Vivo"". También fue jurado en Los cuatro finalistas y protagonista de la novela Torbellino, 20 años después. Es una figura clave en la cumbia peruana contemporánea.",https://www.wikiwand.com/es/articles/Deyvis_Orosco,https://peru21.pe/sites/default/efsfiles/styles/wide/public/2025-01/abridoras-32.png?itok=Q9uVnqIz,,Cumbia|Urbano|Tecnocumbia,,134k,No Te Creas Tan Importante,19M,https://open.spotify.com/intl-es/track/2XD999vTjXDbkFRpYK1tXz?si=b08e62b372484656,
Tongo,"Tongo (nacido el 24 de septiembre de 1957 en Huancayo, Perú) fue un cantante peruano que alcanzó la fama en los años 90 con temas como ""La Pituca"" y ""Sufre peruano, sufre"". En 2007 volvió a la escena con una versión en inglés de La Pituca, que presentó en el programa de Jaime Bayly, con quien lanzó el álbum ""El padrino"". También realizó presentaciones en discotecas y grabó temas en varios idiomas. Su estilo mezclaba cumbia, sátira y humor, convirtiéndolo en un personaje popular en la música y la televisión peruana.",https://youtube.fandom.com/es/wiki/Tongo_Oficial,https://yt3.googleusercontent.com/ytc/AIdro_kFXYtOKE0tuTP6e-IQlZf8NScf6Yy3YwveT1AIxe8QLoM=s900-c-k-c0x00ffffff-no-rj,,Cumbia|Humor/Viral|Parodia,,7k,Billie Jean - Cover,165k,https://open.spotify.com/intl-es/track/0KCtAd9hE9uEm7HaRvruXg?si=18680392be334e80,
El Lobo y La Sociedad Peruana,"Sociedad Privada es un grupo peruano de cumbia amazónica fundado en 1994. Comenzaron como Orquesta Internacional Privados, fusionando ritmos selváticos con tecnocumbia. Su primer éxito fue ""No hay felicidad"". Tras un cambio de nombre, relanzaron su carrera como Sociedad Privada con el tema ""Aléjate de mí"". Su cantante, José Luis Arroyo, es una de las voces tropicales más reconocidas del país.",https://www.last.fm/es/music/Sociedad+Privada/+wiki,https://i.scdn.co/image/ab6761610000e5eb9ab3c0206e61fdd0fd64ceeb,,Cumbia,,298k,Júrame,16.7M,https://open.spotify.com/intl-es/track/4mrVuyJeb9kjJ41F3tWhE0?si=9c879d2ec78f44ad,
Gabriel Drago,"Gabriel Drago, antes conocido como Jethro, es un rapero, cantante y freestyler peruano, destacado en la nueva generación del rap. Comenzó su carrera en 2014 participando en batallas de rap bajo el nombre de Jethro, pero luego se retiró de las competencias para enfocarse en su música.",https://rap.fandom.com/es/wiki/Gabriel_Drago,https://akamai.sscdn.co/uploadfile/letras/fotos/f/f/8/1/ff817a1423984445ed04d67a5f0422aa.jpg,,Electrónica|Pop,,151k,A cualquier Hora,7.8M,https://open.spotify.com/intl-es/track/4ReElLs9FTowk1jt5mG3dz?si=0c7ff77761ef4874,
DJ Peligro,"DJ Peligro, cuyo nombre real es Markos Joel Vásquez Minaya, nació en Lima el 9 de septiembre de 1987. Es un DJ, productor y compositor peruano especializado en reguetón y música electrónica. Se hizo popular en las discotecas de Lima desde 2008. Su éxito como productor llegó con la canción «Soy soltera y hago lo que quiero», en colaboración con Tilsa Lozano.",https://www.wikiwand.com/es/articles/DJ_Peligro,https://scontent-lim1-1.xx.fbcdn.net/v/t1.6435-9/163869328_303852417771191_7888995400857728640_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=PDKjlUP83fMQ7kNvwGdXMDk&_nc_oc=AdnY3Mz41YlKMOKsjRMtWpqOcivvcEEMRFOdE97ZLBwmWp2edYwI7t3Q_5RxGLnyUASuv8iZH3vj6WR3RMX7Emxc&_nc_zt=23&_nc_ht=scontent-lim1-1.xx&_nc_gid=gksoqdwcsRu_qZSchE6LcA&oh=00_AfM1yO7tfyOez7yS2obmPJ_zIULaKOSiHYFqxKophYy1Tw&oe=687DA3FF,,Electrónica|Cumbia|Urbano,,448k,Candy Perreo,56.4M,https://open.spotify.com/intl-es/track/2UxUyhlnc3yHLTRAt2Xa8I?si=00ca28d1a1834a0a,
A.C.O,"Arturo Salazar Salinas, mejor conocido como A.C.O, es un rapero, compositor y beatmaker procedente de Perú, quien se caracteriza por tener en su música una fusión multifacética de géneros musicales.Se dio a conocer con su sencillo ""Mirador de estrellas"" del 2017, que cuenta aproximadamente con 10.000.000 de reproducciones. Expresando los sentimientos sin ningún límite, considerando que hay música para todo, tanto como para ir de fiesta, de lo que se vive en las calles, hasta para la reflexión.",https://rap.fandom.com/es/wiki/A.C.O,https://yoconciertos.com/wp-content/uploads/2022/02/ACO.Mexico.jpg,,Urbano|Electrónica|Hip hop,,456k,Mirador de estrellas,14.3M,https://open.spotify.com/intl-es/track/4x2764vhtFTWjr5ACvXJzD?si=04c405d43cc3436c,
Gonzalo Genek,"Gonzalo Alonso Urresti Araujo, mejor conocido como Gonzalo Genek, antes llamado Cuatro Puntos Beatz, es un mc, rapero, compositor, diseñador gráfico, productor musical y beatmaker, siendo un pionero y referente importante dentro de la camada de raperos y beatmakers procedentes de Perú.Se dio a conocer con su éxito ""No Puedo"", primer tema de su primer disco en solitario ""Licor Amor & Jazz"" que cuenta con 5.400.00 de reproducciones.",https://rap.fandom.com/es/wiki/Gonzalo_Genek,https://elcomercio.pe/resizer/Qa3twbnAs6-9nZbMexWJ7gLDT2Y=/1200x670/smart/filters:format(jpeg):quality(75)/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/2S5UZNBU55AHBD6NZXSZWKLU4U.jpg,,Electrónica|Urbano,,1.2M,La Primera Vez,36.2M,https://open.spotify.com/intl-es/track/1fYklg2kEJ9Uxnr2fxtX78?si=4591e95359ba4cab,
Blaximental,"Jahir Mendoza Chacón, más conocido como Blaximental, es un cantante, rapero y freestyler procedente de Perú, siendo reconocido como los mejores raperos de la escena underground del Cono Norte de Lima Metropolitana.Destacando actualmente por tener sus destacables one shot llamados One Sesh con otros artistas de Perú para tirar una improvisación musical.",https://rap.fandom.com/es/wiki/Blaximental,"https://img.redbull.com/images/c_crop,x_0,y_0,h_1318,w_1977/c_fill,w_1350,h_900/q_auto,f_jpg/redbullcom/2021/9/9/jozp4iagt5bj4sykz7ps/blaximental",,Urbano|Electrónica|Hip hop,,14k,One Sesh #5 (Temporada 1),573k,https://open.spotify.com/intl-es/track/0dvt7GQhf9GyVYtbb67xwu?si=b0fde627877440ca,
"Kalé ""La evolución""","Comenzó su carrera a fines de los 90 como parte del grupo 3MC Boom, pioneros del reguetón peruano. Se lanzó como solista con éxitos como Casa sola y Dígame usted, señorita, y firmó con Sony Music en 2016. Ha colaborado con artistas como Trébol Clan, Don Chezina y Jowell, y se ha presentado en escenarios internacionales. En 2022 regresó con Bailoteo y el álbum Operación Perreo, consolidándose como uno de los mayores referentes del reguetón en el Perú.",https://es.wikipedia.org/wiki/Kalé,https://upload.wikimedia.org/wikipedia/commons/5/56/Kal%C3%A9_in_All_Music_Fest_2015.png,,Electrónica|Pop,,140k,Casa sola,11.9M,https://open.spotify.com/intl-es/track/1CIe6KDFmCLkwRinX8GAx3?si=e61df34c6a3f4ea5,
JP El Chamaco,"Empezó cantando salsa y en 2019 se lanzó como solista en el género reparto. Su primer álbum La Veneka marcó su debut. Ganó popularidad con Modo avión en 2022 y se volvió viral en 2023 con Toma que toma junto a Trebol Clan. Ese año fue telonero en los Premios Heat. En 2024 lanzó Mi felicidad, consolidando su carrera urbana.",https://www.buenamusica.com/jp-el-chamaco/biografia,https://camp.ucss.edu.pe/wp-content/uploads/2023/11/JP-EL-CHAMACO.jpg,,Urbano|Andino|Electrónica,,112k,Toma Que Toma,9.1M,https://open.spotify.com/intl-es/track/1kCmq61nfjoMBBaqTjMCJo?si=bf4ee16ff5f44e08,
Surandino,"Surandino nació el 9 de setiembre del 2008 como un proyecto con identidad propia, a través de la fusión de instrumentos andinos como la zampoña, quena, entre otros, recreando melodías de pegajosas sayas, huaynos, tinkus, morenadas, huaylash, y también cumbias de ayer y hoy. Conforman la agrupación: Raúl Cano (director y voz), César Ames (vientos y voz), Christian Infante (vientos), Fernando Cano (percusión), Víctor Valencia (cuerdas), Wilmer Lázaro (bajo y voz) y Carlos Cristóbal (guitarra).",https://musicaandinaperuana.blogspot.com/2009/02/grupo-surandino.html,https://hytimes.pe/wp-content/uploads/2023/12/Surandino-celebrara-su-aniversario-con-concierto-gratuito.jpg.webp,,Andino|Electrónica,,56k,Caminando Voy/Escondiendo mis Piernas,1.3M,https://open.spotify.com/intl-es/track/1BYBtjyRvDUH2vp6TJhPRM?si=773d4670e0984bac,